subject,relation,object
Cogle CR cell,derived,angiocrine support of leukemia targeted by receptor tyrosine kinase inhibition Leuk Res
Institute of Cancer Stem Cell,of Institute is,"China Ministry of Education Key Lab for Avian Preventive Medicine , College of Veterinary Medicine"
clinical significance,is in,patients with LSCC
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of high affinity mouse anti-PD-1-derived region grafted onto IgG4 immunoglobulin molecule with engineered Fc region
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse variable region grafted onto IgG4 immunoglobulin molecule with engineered Fc region
Pemetrexed transplantable colon cancer ICD,also augmented,T cell function
Predictive biomarkers,are common practice with,modern targeted therapies like anti HER2
metabolomics,reveal,protective effect of Saponins against stroke in rat
miRNAs,are,biomarkers
Chest computed tomography analysis,determines baseline before,pembrolizumab therapy
Ribobio Control siRNA,was used as,Ribobio Co.
Huang TGF beta1 expression,is,regulated by protein kinase in mesangial cells Kidney Int
Carlos III Institute of Health,is,Instituto de Salud Carlos III
mRNAs,were retrieved from,lncRNADisease 2.0 database
KYSE510 cell line,exhibited among,ESCC cell lines
Cell animal experiments confirmed,explore,role of CHAF1B on cisplatin resistance by NCOR2
serum CYFRA 21 1 assay,has,In our department has routinely performed at initial workup after radiation based therapy since 2005
Western blot analysis,is in,SSC 9 cells transfected with LentiSema3A EGFP
Della Vittoria Scarpati G Falcetta F Carlomagno C Ubezio P Marchini S De Stefano A specific miRNA signature,correlates with,response to neoadjuvant chemoradiotherapy in cancer Int J Radiat Oncol Biol Phys 2012 83 1113 1119
Union Hospital,is,Tongji Medical College
World Health Organization,classified as,adenocarcinoma subtype
Human lung cell line BEAS 2B,was obtained from,Cell Bank of Chinese Academy
BCL proteins,emerged with,development of BH3 mimetics
Union Hospital,is,Tongji Medical College
Cancer Genome Atlas Research Network,However performed,genomic analysis of 178 cell lung cancers
induced MDSC,may induce,formation of blood vessels
HTB177 cells,study,effects of pharmacological inhibition on metastasis of lung cancer
Cao XY Jia ZF Jin MS Cao DH Kong F Suo J Jiang J Serum pepsinogen,is,diagnostic marker
Shalapour S Font Burgada J Di Caro G Zhong Z Sanchez Lopez E Dhar D Willimsky G Ammirante M Strasner A Hansel DE Immunosuppressive plasma cells,impede,chemotherapy Nature 2015 521 7550
Medical Biochemistry and Pathology,is,Laval University Cancer Research Center
Centre Hospitalier Universitaire Vaudois,Division of,Thoracic Anesthesiology
Department of Radiation Oncology,Center for,Collaborative Innovation Center for Cancer Medicine
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of affinity mouse anti-PD-1-derived variable region
radiotherapy,be,treatment modality through monitoring of ICDs
Cetuximab,was introduced for,IMRT patients eligible
Department of Pathology,is,National Cancer Center / Cancer Hospital
Shanghai Pulmonary Hospital,affiliated with,Shanghai Chest Hospital affiliated with Shanghai Jiao Tong University
Cells,stained with,BD Biosciences 1:100
Department of Medical Genetics,of Department is,Shahid Beheshti University of Medical Sciences
Radiotherapy,has,has established as definitive treatment
MIB proliferation index,was markedly higher with,expression of CXCR4 especially with CXCR4 expression
PA USA Department of Radiology,is,Drexel University College of Medicine
Genetic based synthetic therapy,are,Currently directly targeted at activated oncogenes
Veterinary Pathology,of Department is,Animal Breeding and Molecular Pathology
our HNSCC cell lines,showed,induction of MHC class I genes
Immunohistochemistry,assess,biomarker expression
Human PDA tissues,were obtained from,Pathology Unit of Sant’Andrea Hospital
Department of Epidemiology and Biostatistics,of Department is,EMGO Institute for Health and Care Research
pathologists,reviewed,IHC studies
HRM MAF titration,was,conducted by MAF in mixed DNA sample in DNA concentration assay from 0.25 ng μl
cancer immunotherapy,containing,sequence optimized mRNAs
Department of Pathology and Laboratory Medicine,Department of,Department of Pathology
increased MIR31HG expression,was,For instance found in LUAD NSCLC tissues when
LINC01234 gene,shows,higher expression level in group 1 breast cancer samples
MDA MB 231,transduced For,tumor model
Anti-PD-1 antibody,enhances response in,late stage tumor xenograft model
Department of Radiation Oncology,is,Bern University Hospital
Bioinformatic analysis,reveals,pattern of gene expression specific in tumors Proc
Chen X Zhang L Cheung PC Immunopotentiation activity,cocos,Int Immunopharmacol
Cells,combined with,fluorescence antibody
IBM score,predict OS for,patients with OSCC
Department of Medical Oncology,Center for,Collaborative Innovation Center for Cancer Medicine
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of affinity mouse region grafted onto human IgG4 immunoglobulin molecule with Fc region
T cells,can also potentiate,T cells
Graduate Institute of Biomedical Materials and Tissue Engineering,is,College of Biomedical Engineering
Medical Oncology,of Department is,Affiliated Cancer Hospital
SCC cells,increase tumor size in,orthotopic murine tumor model
Pembrolizumab,are,human IgG4 anti-PD-1 monoclonal antibodies approved as line therapy for metastatic HNSCC by US FDA
DWI MRI evaluation,has,has yet reported as useful tool for differentiating tumors
Pembrolizumab,is,IgG4 anti-PD-1 antibody consisting of affinity mouse variable region
Radiotherapy,has,has established as treatment for unresectable tumors
Wu XJ Basic transcription factor 3,is required via,regulation of FOXM1 in gastric Cancer Oncol Res
Pembrolizumab,is,humanized IgG4 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted onto human IgG4 immunoglobulin molecule with Fc region
Cells,were treated with,cetuximab
Department of Preventive Medicine and Public Health,is,Ajou University School of Medicine
APC gene,has,has reported as important tumor suppressor
Department of Gastroenterology,Department of,Department of Hepatology and Gastroenterology
Critical Care,Department of,OH USA Department of Biostatistics
Department of Radiation Oncology,Department of,Department of Radiology
pulmonary microvascular cells,maintained in,ScienCell
Respiratory Care Medicine,of Department is,West China Medical School
biological consequence,was examined in,OSCC tissues
Department of Radiotherapy,is,Azienda Ospedaliero - Universitaria di Ferrara
Cells,were stained with,FITC conjugated CD95 antibody
Immunohistochemistry,examine,expression in OSCC tissues
Research Neoadjuvant concurrent chemoradiotherapy,followed by,transanal total excision assisted by single port surgery for adenocarcinoma
based biomarkers,predict pCR after,SABR treatment with study as gold standard
Japan Department of Urology,is,Fujisawa City Hospital
relevant consensus reference genome,is step towards,personal reference genomes
Pembrolizumab,is,humanized monoclonal IgG4 anti-PD-1 antibody consisting of high affinity mouse anti-PD-1-derived variable region grafted onto IgG4 immunoglobulin molecule
T cells,detected expression levels by,qRT PCR assay in NSCLC tissue specimens
Department of Medicinal Oncology,of Department is,China Department of Clinical Nutrition
Laparoscopic hemicolectomy,was performed following,strict oncologic principles
Department of Dermatology,Institute for,Research Institute of Vaccine Therapy for Tumors
UM SCC cells,were treated with,cetuximab
Belgium Pathology,is,University Hospitals Leuven
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of high affinity mouse anti-PD-1-derived region grafted onto IgG4 immunoglobulin molecule with Fc region for stabilization
PD gene,be,used as markers for lung adenocarcinoma staging in Northeast Han population
Zhang T Zhang derived gastric carcinoma xenograft mouse models,faithfully represent,human tumor molecular diversity PLoS One
clinical treatment,However should differ due,biological behaviour of mucinous adenocarcinoma
cetuximab,is in,BRAF V600E mutated colorectal cancer N Engl J Med
human lung cancer cell line 95D,was obtained from,Cell Bank of Chinese Academy
driving gene,is in,biology
Department of Gastroenterology,University of,Hubei University of Medicine
c Quantification cells,using,BrdU incorporation assays
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse variable region grafted with engineered Fc region for stabilization
Brachytherapy,was,For BT treatment planning purposes performed
TLR7 8 agonist imiquimod,may,For VSCC tumors may promising therapeutic agent
Graduate Institute of Biomedical Materials and Tissue Engineering,School of,School of Biomedical Engineering
"Graduate Institute of Medicine , College of Medicine",of Institute is,Kaohsiung Medical University Hospital
"Taiwan Department of Family Medicine , School of Medicine , College of Medicine",is,Kaohsiung Medical University
Background Axitinib,is,tyrosine kinase inhibitor of vascular endothelial growth factor receptors 1 2
HRM MAF titration,was,conducted by MAF in mixed DNA sample from 10 % to 0.005 % of Ex19_std in total DNA concentration assay from 0.25 ng
BH3 profiles,be,associated with treatment response to nCRT serve as basis
Otolaryngology Head,of Department is,Schulich School of Medicine & Dentistry
Department of Surgery,School of,Shinshu University Graduate School of Medicine
LUAD tissue samples,were,collected from Department of Thoracic Surgery
extensive immuno oncology research,has,During past two decades has focused on T cells
Department of Medicine,is,Samsung Medical Center
Della Vittoria Scarpati G Falcetta F Carlomagno C Ubezio P Marchini S De Stefano A specific miRNA signature,correlates with,response to chemoradiotherapy in cancer Int J Radiat Oncol Biol Phys 2012 83 1113 1119
Cells,were analyzed by,Attune AB Applied Biosystems
Department of Internal Medicine,is,Respiratory Research Unit
BSCCs used,are from,sample bank of Pathology
HBEGF stimulation,induced,strong AREG increase in OSCC cell lines
diagnostic biomarkers,are,with fast development of biopsy of cancer diagnosis needed for scale prospective studies
